,Type,Date,Set Time,Title,Amount,Currency,Exchange Rate,Category Group Name,Category,Account,Notes,Labels,Status
48,Expense,2023-01-20 22:05:17,22:05,Benjo,-35.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,Campus,None
49,Expense,2023-01-20 22:04:48,22:04,Oreo shake,-140.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,Campus,None
50,Expense,2023-01-20 22:04:19,22:04,Thekka Coffee,-285.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,Campus,None
51,Expense,2023-01-20 22:03:27,22:03,Om Namkeen,-530.0,INR,1.0,Household,Grocery,AmitK CC,,0 Family Campus,None
52,Expense,2023-01-20 18:51:33,18:51,Veggies,-100.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
53,Expense,2023-01-20 18:51:32,18:51,Vada paav,-15.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Adi,None
54,Expense,2023-01-20 18:51:31,18:51,Samosa,-10.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
55,Expense,2023-01-20 18:51:30,18:51,Grocery,-130.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
56,Expense,2023-01-20 17:23:22,17:23,Chhole Kulcha,-110.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Adi 0 Dipti,None
57,Expense,2023-01-20 17:22:59,17:22,Cab VIBGYOR,-141.0,INR,1.0,Travel,Cab,Dipti Savings,,0 Family,None
59,Expense,2023-01-19 15:59:32,15:59,Formal tops,-800.0,INR,1.0,Entertainment,Shopping,Dipti Savings,,0 Dipti,None
60,Expense,2023-01-19 12:55:33,12:55,Stationary,-320.0,INR,1.0,Household,School,Dipti Savings,,0 Family,None
61,Expense,2023-01-19 12:55:19,12:55,Veggies,-70.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
62,Expense,2023-01-19 12:54:58,12:54,Medicines,-90.0,INR,1.0,Household,Medicines,Dipti Savings,,0 Family,None
63,Expense,2023-01-19 12:54:43,12:54,Grocery,-250.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
64,Expense,2023-01-19 12:54:37,12:54,Flowers,-10.0,INR,1.0,Household,HouseholdItems,Dipti Savings,,0 Family,None
65,Expense,2023-01-19 07:00:53,07:00,Airtel Black charges,-1296.0,INR,1.0,Household,Monthly,AmitK CC,,0 Family,None
66,Expense,2023-01-18 22:15:52,22:15,Times Prime subscription,-899.0,INR,1.0,Entertainment,Movies,AmitK Savings,,0 Family,None
67,Expense,2023-01-18 18:33:41,18:33,LivePure subscription,-599.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
68,Expense,2023-01-18 18:33:35,18:33,Eggs,-78.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
69,Expense,2023-01-18 18:33:27,18:33,Reddy vada paav,-80.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,0 Family,None
70,Expense,2023-01-17 18:27:02,18:27,Reddy vada paav,-40.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,0 Family,None
71,Expense,2023-01-17 18:26:24,18:26,Screen guard,-100.0,INR,1.0,Household,Maintenance,Wallet,,0 Amit,None
72,Expense,2023-01-17 11:44:45,11:44,BB coffee,-51.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
73,Expense,2023-01-16 18:33:53,18:33,Sayali gift contri,-500.0,INR,1.0,Others,Gift,Dipti Savings,,0 Dipti,None
74,Expense,2023-01-16 18:33:52,18:33,Sri Sai Vada Paav,-70.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
75,Expense,2023-01-16 18:33:51,18:33,Garg Pedhi,-130.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
76,Expense,2023-01-16 18:33:50,18:33,Kachchi Dabeli,-15.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
77,Expense,2023-01-16 14:00:13,14:00,Laptop repair,-1200.0,INR,1.0,Household,HouseholdItems,AmitK Savings,,0 Family,None
78,Expense,2023-01-15 21:24:47,21:24,Makeup stuff,-220.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
79,Expense,2023-01-15 21:24:40,21:24,Gajra,-60.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
80,Expense,2023-01-15 21:24:31,21:24,Aata making,-21.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
81,Expense,2023-01-15 11:46:13,11:46,Plants from nursery,-140.0,INR,1.0,Household,HouseholdItems,AmitK Savings,,0 Family,None
82,Expense,2023-01-15 11:45:59,11:45,Wheat,-120.0,INR,1.0,Household,Grocery,AmitK Savings,,0 Family,None
83,Expense,2023-01-15 11:45:43,11:45,A4 papers,-5.0,INR,1.0,Household,HouseholdItems,AmitK Savings,,0 Dipti,None
84,Expense,2023-01-15 11:45:28,11:45,Belt repair,-10.0,INR,1.0,Household,HouseholdItems,AmitK Savings,,0 Adi,None
85,Expense,2023-01-14 15:32:40,15:32,Lunch little Italy,-3900.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Family,None
86,Expense,2023-01-14 15:32:26,15:32,Skin medicines,-360.0,INR,1.0,Household,Medicines,AmitK Savings,,0 Adi,None
87,Expense,2023-01-14 15:32:02,15:32,Skin Dr,-940.0,INR,1.0,Household,Medicines,AmitK Savings,,0 Adi,None
88,Expense,2023-01-13 13:22:05,13:22,Garg Pedhi,-883.0,INR,1.0,Household,Grocery,Sodexho,,0 Family,None
89,Expense,2023-01-13 08:16:45,08:16,Cake Amit,-1400.0,INR,1.0,Entertainment,Party,Dipti Savings,,0 Family,None
90,Expense,2023-01-13 08:16:44,08:16,Vada paav,-15.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Family,None
91,Expense,2023-01-13 08:16:43,08:16,Print outs,-22.0,INR,1.0,Household,School,Dipti Savings,,0 Dipti,None
92,Expense,2023-01-11 19:27:39,19:27,Licious Chicken,-569.0,INR,1.0,Household,Grocery,AmitK CC,,0 Adi 0 Amit,None
93,Expense,2023-01-10 21:09:47,21:09,IRCTC KYN Pune,-157.0,INR,1.0,Travel,Booking,AmitK Savings,,0 Family,None
94,Expense,2023-01-10 21:09:22,21:09,IRCTC PUN KYN,-107.0,INR,1.0,Travel,Booking,AmitK Savings,,0 Family,None
95,Expense,2023-01-10 19:34:49,19:34,Print outs,-60.0,INR,1.0,Household,School,AmitK Savings,,0 Family,None
